"gc","map"
0.383493,0.322328
0.572853,0.791851
0.558315,0.884293
0.56471,0.93609
0.478991,0.907993
0.472349,0.92423
0.516295,0.863725
0.477805,0.907006
0.44551,0.832066
0.501478,0.821503
0.480842,0.836033
0.500389,0.843034
0.444586,0.778375
0.450032,0.420151
0.449915,0.903229
0.483763,0.874182
0.47616,0.732626
0.502632,0.776886
0.497501,0.940385
0.471745,0.89613
0.460951,0.874077
0.483198,0.825122
0.494368,0.870534
0.460703,0.858537
0.469168,0.833568
0.477051,0.809671
0.486303,0.832684
0.485994,0.815781
0.453068,0.764189
0.472682,0.838241
0.4824,0.916925
0.473162,0.857417
0.472912,0.828911
0.458974,0.841766
0.448007,0.930721
0.423899,0.844873
0.484499,0.837519
0.472904,0.924176
0.454738,0.877558
0.45828,0.835223
0.444053,0.827244
0.462513,0.885827
0.424445,0.904312
0.474952,0.857371
0.465378,0.900832
0.426324,0.80093
0.456794,0.818946
0.460638,0.773487
0.415183,0.887426
0.375698,0.907663
0.400626,0.859637
0.411078,0.835996
0.423526,0.844429
0.472964,0.863413
0.484937,0.883929
0.412484,0.874129
0.404437,0.913784
0.406106,0.93807
0.417019,0.904296
0.402909,0.909714
0.385882,0.889769
0.399863,0.92154
0.407032,0.840304
0.403546,0.874828
0.406266,0.908959
0.392518,0.895792
0.377629,0.868689
0.409001,0.874021
0.386797,0.905815
0.361758,0.873948
0.376104,0.889032
0.361607,0.890108
0.347652,0.93211
0.351923,0.910241
0.364474,0.917167
0.376241,0.876177
0.386777,0.877923
0.388185,0.902334
0.372289,0.854873
0.356941,0.907598
0.350435,0.890989
0.366426,0.924703
0.366172,0.917005
0.37378,0.779464
0.389103,0.922043
0.387141,0.906222
0.381598,0.864725
0.392309,0.864601
0.377494,0.944186
0.397117,0.828339
0.385798,0.893372
0.407923,0.843633
0.39335,0.849653
0.406351,0.833364
0.416842,0.876836
0.382657,0.895477
0.373281,0.899367
0.352766,0.899127
0.363084,0.943365
0.37732,0.881685
0.381488,0.890117
0.372385,0.878874
0.348059,0.906792
0.346655,0.813496
0.35145,0.799227
0.343689,0.879944
0.354667,0.898374
0.379185,0.930491
0.400371,0.804091
0.461673,0.836144
0.44449,0.892811
0.422376,0.892843
0.433896,0.905474
0.399391,0.818504
0.40631,0.863113
0.417383,0.885617
0.430699,0.905101
0.405655,0.858765
0.380234,0.902176
0.416368,0.853461
0.406162,0.676159
0.400204,0.388902
0.393768,0
0.392079,0
0.395348,0
0.068754,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.209332
0.341358,0.234751
0.422701,0.351559
0.431143,0.589284
0.417593,0.540639
0.411376,0.576842
0.415429,0.189714
0.421592,0.480457
0.436892,0.785777
0.457418,0.831099
0.415153,0.858578
0.45401,0.834438
0.466412,0.830778
0.47334,0.766894
0.506252,0.870036
0.421134,0.869491
0.391838,0.863456
0.409896,0.87677
0.439267,0.850368
0.445865,0.776093
0.413776,0.887004
0.376521,0.907614
0.39355,0.902614
0.421042,0.900915
0.403256,0.857921
0.418833,0.897919
0.403289,0.88684
0.382559,0.88411
0.377384,0.868513
0.398081,0.860229
0.381289,0.88731
0.394578,0.817153
0.38349,0.818632
0.429636,0.915424
0.39084,0.905647
0.407645,0.903366
0.396618,0.871608
0.411205,0.829159
0.409752,0.885173
0.433756,0.892214
0.419196,0.891557
0.411886,0.897775
0.398329,0.894222
0.379159,0.881046
0.366564,0.895129
0.357207,0.896398
0.343402,0.917619
0.339514,0.902051
0.335929,0.938011
0.3442,0.911355
0.361782,0.904367
0.363943,0.901065
0.344954,0.910932
0.341983,0.915976
0.348899,0.850368
0.36227,0.901722
0.360002,0.928505
0.370293,0.885868
0.418413,0.872133
0.488712,0.90474
0.457479,0.788183
0.463737,0.860598
0.475496,0.920082
0.472865,0.861073
0.447478,0.758265
0.404399,0.847176
0.424245,0.945997
0.42178,0.924315
0.410464,0.897633
0.42145,0.821477
0.431252,0.864742
0.407892,0.871747
0.401714,0.91956
0.36768,0.912279
0.367863,0.936164
0.377029,0.922146
0.383972,0.909768
0.380965,0.919359
0.403139,0.862536
0.390553,0.922205
0.399255,0.855614
0.423946,0.865948
0.423041,0.753665
0.418864,0.820613
0.464018,0.860704
0.426036,0.852556
0.471168,0.853165
0.435753,0.889142
0.446049,0.917384
0.424191,0.880526
0.418729,0.906542
0.402346,0.908095
0.437401,0.891776
0.424301,0.842862
0.428655,0.852651
0.38983,0.896087
0.36841,0.907286
0.382198,0.910327
0.39732,0.890298
0.399341,0.904853
0.40794,0.796561
0.390747,0.722537
0.425253,0.874672
0.438129,0.868561
0.413367,0.863917
0.411951,0.827278
0.390554,0.736044
0.452353,0.901134
0.456805,0.880193
0.404874,0.921532
0.442616,0.882004
0.388849,0.91148
0.436129,0.915328
0.434648,0.939642
0.424225,0.939499
0.399204,0.939381
0.362226,0.877927
0.391089,0.876015
0.437801,0.893575
0.451125,0.920363
0.442597,0.888617
0.426854,0.90163
0.414692,0.920836
0.401673,0.912775
0.399411,0.916198
0.394477,0.89868
0.365674,0.895409
0.379451,0.907409
0.40995,0.917877
0.401022,0.925112
0.403756,0.930093
0.412447,0.842865
0.384874,0.850296
0.404562,0.859742
0.392752,0.852936
0.409694,0.904736
0.430689,0.919671
0.43038,0.915282
0.39886,0.883681
0.392703,0.817198
0.414219,0.872048
0.414988,0.866945
0.420263,0.886692
0.384801,0.898029
0.396357,0.87615
0.373945,0.857117
0.349806,0.879049
0.383774,0.905382
0.311953,0.905473
0.388442,0.873222
0.464503,0.879361
0.434073,0.873671
0.409474,0.920556
0.432599,0.929633
0.410144,0.861544
0.437646,0.853061
0.439118,0.896176
0.398804,0.944136
0.364961,0.916667
0.372659,0.900022
0.355317,0.896954
0.348487,0.897406
0.343663,0.865518
0.348969,0.873883
0.354985,0.879337
0.385412,0.915236
0.388995,0.925245
0.381979,0.905321
0.377583,0.83138
0.399589,0.826606
0.396494,0.85568
0.365583,0.903444
0.352834,0.867452
0.35902,0.882327
0.377597,0.912309
0.420862,0.885098
0.473402,0.899394
0.475812,0.861689
0.506069,0.851595
0.428619,0.896143
0.431683,0.857341
0.392543,0.87197
0.437727,0.896022
0.398758,0.880593
0.452895,0.885729
0.471122,0.898791
0.471922,0.910855
0.436348,0.931571
0.364114,0.908876
0.373881,0.917336
0.378114,0.906578
0.41205,0.880028
0.39701,0.847096
0.462379,0.868363
0.398677,0.417027
0.381189,0.714907
0.392195,0.6013
0.381959,0.367991
0.396366,0.348661
0.409454,0.216134
0.425568,0
0.395931,0
0.414279,0.672902
0.417432,0.597454
0.484934,0.672011
0.414444,0.750194
0.416998,0.857519
0.455965,0.889115
0.460518,0.865634
0.470946,0.90358
0.464215,0.917548
0.420457,0.933604
0.385785,0.910911
0.384266,0.881318
0.375108,0.832931
0.371838,0.844597
0.398109,0.803518
0.421501,0.619878
0.401837,0.68465
0.418439,0.66133
0.429636,0.802241
0.423254,0.685564
0.363917,0.906028
0.422283,0.890948
0.436963,0.887819
0.415527,0.861185
0.459351,0.914516
0.417445,0.881542
0.428808,0.944925
0.449995,0.867461
0.452743,0.925767
0.488328,0.898793
