"gc","map"
0.517935,0.530616
0.541855,0.505286
0.285083,0.50691
0.274783,0.423529
0.598076,0.481113
0.271063,0.478567
0.579086,0.614875
0.566626,0.559153
0.551776,0.743812
0.378774,0.966334
0.372544,0.951853
0.410084,0.955202
0.373154,0.959676
0.393304,0.964957
0.425864,0.884013
0.438624,0.889352
0.432034,0.860436
0.466655,0.85652
0.527415,0.930079
0.431824,0.935637
0.430374,0.965248
0.431594,0.954955
0.421974,0.953804
0.415794,0.977578
0.372994,0.987846
0.388084,0.966899
0.414664,0.898361
0.239932,0.851419
0.420634,0.984809
0.445724,0.984881
0.434004,0.989786
0.418404,0.987987
0.431734,0.984307
0.438214,0.989772
0.408474,0.990313
0.376184,0.983696
0.427734,0.981174
0.427984,0.968561
0.507925,0.945023
0.482225,0.975696
0.504815,0.955563
0.513155,0.953345
0.555626,0.973897
0.505035,0.980987
0.524995,0.984475
0.538725,0.969828
0.479635,0.984751
0.482425,0.986526
0.564406,0.954114
0.541275,0.985734
0.590836,0.961181
0.560226,0.970388
0.545875,0.98166
0.537185,0.983749
0.506885,0.989322
0.541785,0.980359
0.529535,0.968879
0.489165,0.972278
0.467965,0.977962
0.507035,0.987224
0.444684,0.972565
0.447684,0.962268
0.436084,0.963645
0.469595,0.929977
0.418934,0.9273
0.472905,0.935091
0.510215,0.948115
0.534875,0.936795
0.588526,0.978444
0.513555,0.977248
0.516355,0.982582
0.537185,0.969777
0.555486,0.975033
0.534095,0.97665
0.470195,0.977069
0.473105,0.972768
0.454705,0.965663
0.560286,0.965253
0.574346,0.962721
0.546165,0.934298
0.568526,0.943337
0.543165,0.936961
0.522345,0.926761
0.503345,0.96506
0.572466,0.960008
0.592626,0.969216
0.600226,0.936743
0.588246,0.948822
0.529175,0.920693
0.524795,0.919908
0.510875,0.947311
0.495145,0.943635
0.489995,0.959779
0.458595,0.967559
0.501605,0.934686
0.514205,0.907912
0.480345,0.938511
0.505995,0.92934
0.496025,0.935695
0.532415,0.894249
0.546125,0.910403
0.559586,0.921585
0.578076,0.935822
0.564216,0.937467
0.524775,0.919199
0.568646,0.962013
0.431634,0.987893
0.454475,0.981297
0.479615,0.966431
0.484435,0.937489
0.517385,0.917976
0.549676,0.939267
0.544715,0.940047
0.486805,0.944385
0.491485,0.966279
0.491605,0.975393
0.466765,0.948471
0.466555,0.950501
0.497115,0.957207
0.483985,0.924449
0.484875,0.934963
0.473065,0.955225
0.550885,0.953657
0.588286,0.954603
0.572526,0.982468
0.495875,0.957788
0.529155,0.954822
0.556366,0.92178
0.555656,0.719993
0.291303,0.506812
0.520975,0.478286
0.548625,0.695477
0.536445,0.656126
0.538585,0.674062
0.521235,0.917455
0.527415,0.934514
0.564546,0.929768
0.586356,0.980254
0.542295,0.964751
0.569356,0.971425
0.577716,0.967699
0.566696,0.977207
0.586206,0.964338
0.580236,0.949824
0.568506,0.972782
0.553716,0.971557
0.543325,0.979273
0.523835,0.974108
0.518255,0.970221
0.482355,0.949605
0.485885,0.971181
0.508495,0.964887
0.542565,0.961887
0.513265,0.956646
0.493065,0.929773
0.539515,0.931056
0.548295,0.932067
0.460485,0.923304
0.547686,0.911689
0.523125,0.965813
0.434124,0.930074
0.459555,0.952299
0.513185,0.946904
0.539175,0.914409
0.497575,0.911556
0.552146,0.6774
0.507195,0.803091
0.509285,0.726038
0.276583,0.704009
0.449584,0.902422
0.512205,0.958287
0.512525,0.961848
0.487495,0.970169
0.500995,0.949733
0.500215,0.909371
0.478175,0.952063
0.448384,0.984436
0.491695,0.978389
0.518995,0.97714
0.523005,0.981921
0.512395,0.981942
0.493435,0.983696
0.506765,0.98924
0.503365,0.990962
0.525755,0.978008
0.528255,0.975229
0.487255,0.975088
0.501895,0.979419
0.474515,0.983952
0.491365,0.980488
0.503035,0.97318
0.573716,0.98426
0.527695,0.940944
0.476805,0.973688
0.525095,0.970685
0.548335,0.930835
0.504595,0.953652
0.514865,0.956891
0.563746,0.951501
0.544625,0.946731
0.569496,0.948445
0.505625,0.975383
0.534425,0.972852
0.500595,0.984171
0.504185,0.982178
0.523675,0.936547
0.499535,0.941055
0.528725,0.956212
0.599456,0.955298
0.624766,0.971132
0.604116,0.951056
0.579106,0.940295
0.492125,0.942505
0.499095,0.935029
0.544835,0.84963
0.473885,0.948568
0.473355,0.974403
0.572116,0.935454
0.446704,0.956152
0.482655,0.886902
0.547885,0.897348
0.483075,0.974617
0.481065,0.982784
0.518805,0.972595
0.568986,0.971134
0.479655,0.987102
0.487575,0.975386
0.482845,0.982057
0.481355,0.976502
0.525075,0.949124
0.585036,0.960727
0.560016,0.946147
0.548395,0.941533
0.564376,0.942806
0.506865,0.947563
0.503785,0.946212
0.516045,0.921676
0.527285,0.920687
0.534175,0.913784
0.546975,0.919978
0.517895,0.945466
0.509395,0.96168
0.531355,0.947602
0.525215,0.981172
0.557186,0.968432
0.542225,0.952653
0.561526,0.93251
0.543815,0.920867
0.557166,0.958209
0.462545,0.991481
0.484235,0.98272
0.533465,0.95397
0.538945,0.8585
0.547585,0.786271
0.571106,0.900373
0.486925,0.957585
0.532985,0.962046
0.491655,0.972309
0.505825,0.955142
0.536735,0.946207
0.500305,0.953359
0.512185,0.93985
0.513595,0.943423
0.492465,0.934236
0.534715,0.929216
0.495295,0.925593
0.547085,0.915102
0.543015,0.958144
0.493495,0.918128
0.504775,0.924471
0.494865,0.916517
0.503415,0.928145
0.547345,0.912456
0.461065,0.950388
0.550856,0.926774
0.451625,0.969132
0.499755,0.947048
0.564666,0.926439
0.532315,0.923592
0.534165,0.94109
0.609096,0.942073
0.528895,0.930111
0.539335,0.920831
0.546665,0.891398
0.576506,0.921578
0.509915,0.893198
0.533885,0.893173
0.544425,0.914992
0.497685,0.937663
0.582916,0.933401
0.601556,0.93783
0.520205,0.925431
0.503325,0.963336
0.501945,0.973839
0.517685,0.967999
0.505295,0.986582
0.532435,0.980035
0.521815,0.971996
0.524965,0.989428
0.527925,0.977954
0.510495,0.986985
0.524525,0.977191
0.530925,0.977969
0.516505,0.980974
0.520395,0.936317
0.549695,0.969408
0.502215,0.984051
0.469305,0.982408
0.488685,0.973586
0.563256,0.960575
0.570946,0.931057
0.514325,0.900591
0.537285,0.935271
0.555466,0.953617
0.539115,0.943702
0.524175,0.956581
0.479395,0.985561
0.441974,0.991344
0.550586,0.943529
0.555116,0.927358
0.538705,0.918557
0.541205,0.931735
0.491295,0.926066
0.505295,0.946168
0.547005,0.917355
0.555316,0.906985
0.555146,0.904437
0.485495,0.923365
0.524295,0.954292
0.527105,0.929435
0.531605,0.942813
0.525645,0.965162
0.533425,0.953599
0.513235,0.976591
0.568236,0.974235
0.560136,0.978287
0.542195,0.966381
0.551946,0.983154
0.553876,0.971619
0.529965,0.990542
0.555176,0.96587
0.534945,0.984653
0.567266,0.975056
0.583636,0.990331
0.552016,0.98805
0.577346,0.972187
0.547765,0.974194
0.507795,0.983326
0.541065,0.97213
0.552905,0.956144
0.585106,0.925344
0.570156,0.899946
0.581266,0.936646
0.619566,0.948724
0.580546,0.954338
0.542285,0.96575
0.563806,0.949431
0.551895,0.936726
0.566026,0.938184
0.600376,0.958603
0.569976,0.943851
0.474905,0.93514
0.553206,0.919177
0.481465,0.951987
0.522865,0.936138
0.510905,0.971393
0.518705,0.981018
0.514755,0.984145
0.507665,0.992256
0.500535,0.988541
0.502235,0.984628
0.549595,0.988587
0.549025,0.97629
0.521725,0.953322
0.508705,0.962415
0.553536,0.934448
0.502745,0.968961
0.510375,0.953964
0.545155,0.944915
0.527845,0.899063
0.489175,0.967528
0.520005,0.974899
0.520815,0.984378
0.585466,0.98482
0.575366,0.960515
0.550125,0.983137
0.554746,0.956013
0.552626,0.962912
0.558946,0.948455
0.545355,0.898049
0.534865,0.904934
0.566056,0.946726
0.579856,0.951039
0.586076,0.950238
0.561976,0.954352
0.509575,0.910936
0.493985,0.959934
0.520565,0.928601
0.553346,0.945943
0.510885,0.931383
0.568216,0.942848
0.594936,0.94464
0.587606,0.947409
0.543875,0.947192
0.586046,0.955235
0.577226,0.915954
0.526045,0.959149
0.542705,0.973258
0.489675,0.969659
0.543145,0.948601
0.561786,0.954904
0.618726,0.956281
0.569656,0.953336
0.498955,0.983418
0.472715,0.992602
0.489335,0.971578
0.518265,0.989583
0.517105,0.985682
0.540925,0.986039
0.587396,0.964079
0.600946,0.956319
0.555606,0.981605
0.619276,0.960293
0.583546,0.962525
0.587706,0.969996
0.609036,0.949292
0.583246,0.954336
0.527975,0.946722
0.572886,0.956837
0.515305,0.954782
0.532745,0.933223
0.579056,0.943576
0.528155,0.960906
0.507475,0.959855
0.530925,0.963915
0.464325,0.980612
0.509735,0.943852
0.576116,0.959325
0.553256,0.977037
0.468685,0.975103
0.518445,0.95822
0.573286,0.942077
0.515975,0.989776
0.549825,0.97158
0.567596,0.964353
0.517175,0.964958
0.499765,0.96588
0.512865,0.916842
0.510715,0.948799
