"gc","map"
0.456506,0.748778
0.427147,0.921563
0.398176,0.962084
0.43529,0.979676
0.521008,0.973018
0.527651,0.977346
0.483704,0.953264
0.522195,0.968194
0.55449,0.942759
0.498522,0.935965
0.519158,0.946108
0.499611,0.946549
0.509799,0.927102
0.545584,0.892819
0.550085,0.967743
0.516237,0.944868
0.473839,0.870804
0.497368,0.962436
0.502499,0.981802
0.528255,0.958309
0.539049,0.96241
0.516802,0.933166
0.505632,0.967228
0.539297,0.936243
0.530832,0.956111
0.522949,0.932493
0.513696,0.934303
0.514006,0.934298
0.546932,0.917936
0.525716,0.967495
0.5176,0.973318
0.526838,0.947008
0.527088,0.925856
0.541026,0.97035
0.551993,0.976358
0.576101,0.941462
0.5155,0.960462
0.527096,0.95673
0.545262,0.962246
0.54172,0.938705
0.555947,0.950505
0.537487,0.973926
0.575555,0.959282
0.525048,0.959848
0.534622,0.95399
0.573676,0.933322
0.543206,0.929407
0.539362,0.952355
0.584817,0.96911
0.624302,0.953286
0.599374,0.96233
0.588922,0.953979
0.576474,0.936341
0.527036,0.969696
0.515063,0.95411
0.587516,0.971532
0.595563,0.976267
0.593894,0.979486
0.582981,0.972197
0.597091,0.96744
0.614118,0.971608
0.600137,0.966004
0.592968,0.952471
0.596454,0.970978
0.593734,0.970288
0.607482,0.959835
0.622371,0.970218
0.590999,0.963118
0.613203,0.964925
0.638242,0.968497
0.623896,0.96688
0.638393,0.979164
0.652348,0.977439
0.648077,0.979849
0.635526,0.968307
0.623759,0.958261
0.613223,0.973005
0.611815,0.965107
0.627711,0.966358
0.643059,0.96927
0.649565,0.974662
0.633574,0.978432
0.633828,0.980201
0.62622,0.891119
0.610897,0.975585
0.612859,0.957675
0.618402,0.957405
0.607691,0.979327
0.622506,0.971688
0.602883,0.95504
0.614202,0.969001
0.592077,0.947284
0.60665,0.94173
0.593649,0.956661
0.583158,0.965832
0.617343,0.973104
0.626719,0.965484
0.647234,0.980961
0.636916,0.977163
0.62268,0.96418
0.618512,0.961498
0.627615,0.975838
0.651941,0.966874
0.653345,0.962686
0.64855,0.966461
0.656311,0.972381
0.645333,0.97436
0.620815,0.98009
0.599629,0.939052
0.538327,0.951346
0.55551,0.978182
0.577624,0.970576
0.566104,0.945876
0.600609,0.952305
0.59369,0.958515
0.582617,0.971662
0.569301,0.958629
0.594345,0.967282
0.619766,0.964228
0.583632,0.954448
0.593838,0.5567
0.571649,0.68879
0.578873,0.461164
0.607921,0
0.60397,0.723374
0.111725,0.81088
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.474054,0.730478
0.577299,0.535485
0.568857,0.784886
0.582407,0.610132
0.588624,0.924852
0.584571,0.699357
0.578408,0.679827
0.563108,0.927415
0.542582,0.941313
0.584847,0.957421
0.54599,0.946658
0.533588,0.938026
0.52666,0.920474
0.493748,0.952908
0.578866,0.962245
0.608162,0.960261
0.590104,0.960774
0.560733,0.954753
0.554135,0.917278
0.586224,0.961944
0.623479,0.975647
0.60645,0.971694
0.578958,0.968752
0.596744,0.958083
0.581167,0.967251
0.596711,0.965206
0.617441,0.966199
0.622616,0.963863
0.601919,0.960536
0.618711,0.966658
0.605422,0.945358
0.61651,0.949619
0.570364,0.976061
0.60916,0.971447
0.592355,0.972545
0.603382,0.961916
0.588795,0.943612
0.590248,0.966667
0.566244,0.968567
0.580804,0.966144
0.588114,0.966157
0.601671,0.9725
0.620841,0.96392
0.633436,0.968683
0.642793,0.973641
0.656598,0.980089
0.660486,0.971658
0.664071,0.98461
0.6558,0.97572
0.638218,0.971234
0.636057,0.97339
0.655046,0.974119
0.658017,0.978532
0.651101,0.948838
0.63773,0.973106
0.639998,0.980072
0.629707,0.968183
0.581587,0.956786
0.511288,0.969504
0.542521,0.92351
0.536263,0.954825
0.524504,0.973444
0.527135,0.956906
0.552522,0.930385
0.595601,0.95898
0.575755,0.979998
0.57822,0.977247
0.589536,0.963761
0.57855,0.948496
0.568748,0.953808
0.592108,0.969905
0.598286,0.972535
0.63232,0.973169
0.632137,0.983849
0.622971,0.977917
0.616028,0.974199
0.619035,0.967911
0.596861,0.96416
0.609447,0.973251
0.600745,0.957285
0.526054,0.938305
0.576959,0.94314
0.581136,0.945042
0.535982,0.953524
0.573964,0.955972
0.478831,0.971404
0.564247,0.96616
0.553951,0.974403
0.575809,0.959242
0.581271,0.973761
0.597654,0.969936
0.562599,0.962912
0.575699,0.945268
0.571345,0.955116
0.61017,0.970828
0.63159,0.970919
0.617802,0.976725
0.60268,0.96133
0.600659,0.965335
0.59206,0.898517
0.609253,0.920901
0.574747,0.956085
0.561871,0.961835
0.586633,0.951477
0.588049,0.948808
0.598989,0.916732
0.553475,0.97223
0.534159,0.966085
0.55676,0.977209
0.534624,0.963668
0.614668,0.978156
0.596063,0.973343
0.597819,0.983159
0.590753,0.98315
0.563276,0.97876
0.550847,0.96
0.508677,0.963066
0.556718,0.964474
0.596641,0.978151
0.64473,0.965662
0.619159,0.974724
0.578883,0.972873
0.579432,0.979074
0.611095,0.97291
0.612542,0.974076
0.588458,0.974007
0.548791,0.970613
0.61344,0.978585
0.626389,0.978702
0.554087,0.9709
0.578679,0.950694
0.546113,0.946126
0.535549,0.959924
0.548255,0.953813
0.563402,0.964889
0.566126,0.981997
0.566689,0.970261
0.586603,0.962985
0.594502,0.943425
0.598583,0.957215
0.629566,0.963804
0.642895,0.966872
0.604532,0.965377
0.599189,0.965485
0.578002,0.950798
0.607233,0.962245
0.634863,0.976692
0.616304,0.974759
0.559335,0.955477
0.572891,0.966236
0.589637,0.962665
0.572885,0.978626
0.561853,0.976082
0.55296,0.950723
0.59541,0.963585
0.627558,0.96962
0.642665,0.986988
0.646773,0.972211
0.63939,0.976485
0.616534,0.966957
0.591877,0.974155
0.60537,0.950894
0.627349,0.964146
0.644741,0.971307
0.631471,0.976552
0.617109,0.978975
0.576203,0.964714
0.587575,0.942116
0.593553,0.954239
0.621947,0.954438
0.576632,0.969255
0.57235,0.957393
0.609205,0.968861
0.611244,0.973783
